##4113706,...2,...3
way,way,nn1
forward,forward,rl_nn1@
that,that,cst
have,have,vh0
not,not,xx
been,be,vbn
fulfilled,fulfil,vvn
",",",",y
NA,y,NA
she,she,pphs1
said,say,vvd
.,.,y
NA,y,NA
We,we,ppis2
regret,regret,vv0
that,that,cst
the,the,at
president,president,nn1
has,have,vhz
thus,thus,rr
far,far,rr
failed,fail,vvn
to,to,to
comply,comply,vvi
with,with,iw
his,his,appge
own,own,da
commitments,commitment,nn2
to,to,to
leave,leave,vvi
the,the,at
country,country,nn1
",",",",y
to,to,to
permit,permit,vvi
elections,election,nn2
to,to,to
go,go,vvi
forward,forward,rl
that,that,cst
give,give,vv0
the,the,at
people,people,nn
a,a,at1
chance,chance,nn1
to,to,to
be,be,vbi
heard,hear,vvn
and,and,cc
be,be,vbi
represented,represent,vvn
.,.,y
NA,y,NA
#,#,fo
Even,even,rr
before,before,ii_cs
Yemen,yemen,np1
's,'s,ge
uprising,uprising,nn1
began,begin,vvd
",",",",y
it,it,pph1
already,already,rr
was,be,vbdz
the,the,at
poorest,poor,jjt
country,country,nn1
in,in,ii
the,the,at
Arab,arab,jj_nn1
world,world,nn1
",",",",y
with,with,iw
a,a,at1
weak,weak,jj
central,central,jj
government,government,nn1
",",",",y
deep,deep,rr_jj
tribal,tribal,jj
divisions,division,nn2
and,and,cc
several,several,da2
separate,separate,jj
conflicts,conflict,nn2
.,.,y
#,#,fo
Associated,associated,jj
Press,press,nn1
writer,writer,nn1
Ahmed,ahmed,np1
al-Haj,NA,nn1_jj
in,in,ii
Sanaa,sanaa,np1
contributed,contribute,vvd
to,to,ii
this,this,dd1
report.,report,nnu
#,#,fo
#,#,fo
##4113733,NA,NA
The,the,at
Penn,penn,np1
State,state,nn1
trustee,trustee,nn1
overseeing,oversee,vvg
the,the,at
school,school,nn1
's,'s,ge
internal,internal,jj
investigation,investigation,nn1
into,into,ii
child,child,nn1
sexual,sexual,jj
abuse,abuse,nn1
allegations,allegation,nn2
against,against,ii
a,a,at1
former,former,da
assistant,assistant,jj_nn1
coach,coach,nn1
says,say,vvz
there,there,ex
's,be,vbz
no,no,at
timetable,timetable,nn1
for,for,if
results,result,nn2
of,of,io
the,the,at
probe,probe,nn1
.,.,y
#,#,fo
Ken,ken,np1
Frazier,frazier,np1
had,have,vhd
said,say,vvn
last,last,md
month,month,nnt1
he,he,pphs1
hoped,hope,vvd
to,to,to
have,have,vhi
the,the,at
results,result,nn2
by,by,ii
May,may,npm1
.,.,y
But,but,ccb
he,he,pphs1
told,tell,vvd
trustees,trustee,nn2
at,at,ii
a,a,at1
meeting,meeting,nn1
Friday,friday,npd1
that,that,cst
results,result,nn2
may,may,vm
not,not,xx
come,come,vvi
now,now,rt
until,until,cs_ii@
next,next,md
fall,fall,nn1
.,.,y
#,#,fo
Frazier,frazier,np1
then,then,rt
added,add,vvd_vvn
there,there,ex_rl
was,be,vbdz
no,no,at
NA,y,NA
artificial,artificial,jj
timetable,timetable,nn1
NA,y,NA
he,he,pphs1
wants,want,vvz
to,to,to
give,give,vvi
investigators,investigator,nn2
ample,ample,jj
time,time,nnt1
for,for,if
thorough,thorough,jj
questioning,questioning,nn1
.,.,y
#,#,fo
Trustees,trustee,nn2
are,be,vbr
meeting,meet,vvg
for,for,if
the,the,at
first,first,md
time,time,nnt1
since,since,cs_ii@
the,the,at
chaotic,chaotic,jj
week,week,nnt1
in,in,ii
November,november,npm1
after,after,cs
dozens,dozen,nno2
of,of,io
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
charges,charge,nn2
were,be,vbdr
filed,file,vvn
against,against,ii
Jerry,jerry,np1
Sandusky.,sandusky,np1
#,#,fo
Trustees,trustee,nn2
have,have,vh0
tabbed,tab,vvn
former,former,da
FBI,fbi,np1
director,director,nn1
Louis,louis,np1
Freeh,freeh,np1_nn1
as,as,csa_ii@
their,their,appge
lead,lead,nn1
investigator.,investigator,nnu
#,#,fo
THIS,this,dd1
IS,be,vbz
A,a,at1@_zz1
BREAKING,break,nn1@_vvg
NEWS,news,nn1
UPDATE,update,nn1
.,.,y
Check,check,vv0
back,back,rp
soon,soon,rr
for,for,if
further,far,jjr@
information,information,nn1
.,.,y
AP,ap,np1
's,'s,ge
earlier,early,jjr
story,story,nn1
is,be,vbz
below,below,rl
.,.,y
#,#,fo
Penn,penn,np1
State,state,nn1
President,president,nnb
Rodney,rodney,np1
Erickson,erickson,np1
is,be,vbz
trying,try,vvg
to,to,to
address,address,vvi
the,the,at
perception,perception,nn1
that,that,cst
the,the,at
university,university,nn1
is,be,vbz
n't,n't,xx
being,be,vbg
as,as,rg@_csa
open,open,jj
and,and,cc
honest,honest,jj
as,as,csa
it,it,pph1
could,could,vm
be,be,vbi
in,in,ii
the,the,at
wake,wake,nn1
of,of,io
the,the,at
Jerry,jerry,np1
Sandusky,sandusky,np1
scandal,scandal,nn1
.,.,y
#,#,fo
Erickson,erickson,np1
said,say,vvd
in,in,rp@_ii
remarks,remark,vvz_nn2
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
's,be,vbz
continuing,continue,vvg_jj
to,to,to
reach,reach,vvi
out,out,rp
to,to,ii
alumni,alumnus,nn2
",",",",y
students,student,nn2
and,and,cc
other,other,jj
groups,group,nn2
and,and,cc
working,work,vvg
to,to,to
be,be,vbi
more,more,rgr
accountable,accountable,jj
.,.,y
#,#,fo
The,the,at
trustees,trustee,nn2
are,be,vbr
meeting,meet,vvg
for,for,if
the,the,at
first,first,md
time,time,nnt1
since,since,cs_ii@
the,the,at
chaotic,chaotic,jj
week,week,nnt1
in,in,ii
November,november,npm1
after,after,cs
dozens,dozen,nno2
of,of,io
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
charges,charge,nn2
were,be,vbdr
brought,bring,vvn
against,against,ii
Sandusky,sandusky,np1
",",",",y
a,a,at1
retired,retired,jj
assistant,assistant,jj_nn1
football,football,nn1
coach,coach,nn1
who,who,pnqs
had,have,vhd
been,be,vbn
highly,highly,rr
regarded,regard,vvn
for,for,if
his,his,appge
charity,charity,nn1
work,work,nn1_vv0
with,with,iw
children,child,nn2
.,.,y
#,#,fo
Some,some,dd
alumni,alumnus,nn2
are,be,vbr
calling,call,vvg
for,for,if
wholesale,wholesale,jj
changes,change,nn2
in,in,ii
the,the,at
board,board,nn1
's,'s,ge
makeup,makeup,nn1
and,and,cc
more,more,dar
transparency,transparency,nn1
from,from,ii
the,the,at
board,board,nn1
and,and,cc
administration,administration,nn1
.,.,y
#,#,fo
NA,y,NA
I,i,zz1%_mc1%
also,also,rr
believe,believe,vv0
openness,openness,nn1
and,and,cc
communication,communication,nn1
are,be,vbr
the,the,at
best,best,jjt
way,way,nn1
to,to,to
move,move,vvi
Penn,penn,np1
State,state,nn1
forward,forward,rl
",",",",y
NA,y,NA
Erickson,erickson,np1
said,say,vvd
.,.,y
#,#,fo
He,he,pphs1
called,call,vvd@
the,the,at
last,last,md
two,two,mc
months,month,nnt2
an,a,at1
NA,y,NA
extraordinarily,extraordinarily,rr
trying,try,vvg_jj@
time,time,nnt1
NA,y,NA
for,for,if
the,the,at
school,school,nn1
",",",",y
and,and,cc
said,say,vvd
the,the,at
university,university,nn1
is,be,vbz
cooperating,cooperate,vvg
with,with,iw
several,several,da2
ongoing,ongoing,jj
investigations,investigation,nn2
related,relate,vvn_vvd
to,to,ii
the,the,at
Sandusky,sandusky,jj@_np1
case,case,nn1
.,.,y
#,#,fo
The,the,at
meeting,meeting,nn1
",",",",y
in,in,ii
the,the,at
ballroom,ballroom,nn1
of,of,io
a,a,at1
campus,campus,nn1
hotel,hotel,nn1
",",",",y
drew,draw,vvd
a,a,at1
larger-than-normal,larger-than-normal,jjr
crowd,crowd,nn1
of,of,io
at,at,rr21
least,least,rr22
200,200,mc
people,people,nn
",",",",y
including,including,ii_vvg@
a,a,at1
couple,couple,nn1
of,of,io
candidates,candidate,nn2
hoping,hope,vvg
to,to,to
win,win,vvi
election,election,nn1
to,to,ii
the,the,at
board,board,nn1
this,this,dd1
spring,spring,nn1
.,.,y
Former,former,da
Penn,penn,np1
State,state,nn1
running,run,vvg
back,back,rp_nn1
Franco,franco,np1
Harris,harris,np1
",",",",y
a,a,at1
vocal,vocal,jj
critic,critic,nn1
of,of,io
the,the,at
administration,administration,nn1
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
.,.,y
#,#,fo
Some,some,dd
alumni,alumnus,nn2
and,and,cc
former,former,da
players,player,nn2
",",",",y
Harris,harris,np1
among,among,ii
them,them,ppho2
",",",",y
have,have,vh0
been,be,vbn
critical,critical,jj
of,of,io
the,the,at
32-member,32-member,jj_nn1
board,board,nn1
for,for,if
how,how,rrq
they,they,pphs2
handled,handle,vvd
Paterno,paterno,np1
's,'s,ge
dismissal,dismissal,nn1
four,four,mc
days,day,nnt2
after,after,ii_cs
Sandusky,sandusky,np1
was,be,vbdz
charged,charge,vvn
on,on,ii
Nov.,nov,npm1
5.,5,mc
#,#,fo
After,after,ii
remaining,remain,vvg
mostly,mostly,rr
silent,silent,jj
the,the,at
last,last,md
two,two,mc
months,month,nnt2
",",",",y
trustees,trustee,nn2
this,this,dd1
week,week,nnt1
began,begin,vvd
to,to,to
divulge,divulge,vvi
the,the,at
reasons,reason,nn2
behind,behind,ii
their,their,appge
actions,action,nn2
",",",",y
hoping,hope,vvg
to,to,to
sway,sway,vvi
skeptics,skeptic,nn2
and,and,cc
critics,critic,nn2
seeking,seek,vvg
change,change,nn1
.,.,y
#,#,fo
Leadership,leadership,nn1
positions,position,nn2
were,be,vbdr
up,up,rp
for,for,if
election,election,nn1
at,at,ii
Friday,friday,npd1
's,'s,ge
meeting,meeting,nn1
.,.,y
In,in,ii
the,the,at
morning,morning,nnt1
",",",",y
the,the,at
board,board,nn1
also,also,rr
heard,hear,vvn_vvd
a,a,at1
very,very,rg
broad,broad,jj
presentation,presentation,nn1
on,on,ii
the,the,at
school,school,nn1
's,'s,ge
athletic,athletic,jj
programs,program,nn2
.,.,y
#,#,fo
NA,y,NA
We,we,ppis2
have,have,vh0
lots,lots,pn
of,of,io
things,thing,nn2
that,that,cst
we,we,ppis2
need,need,vv0
to,to,to
do,do,vdi
in,in,ii31
terms,terms,ii32
of,of,ii33
the,the,at
board,board,nn1
and,and,cc
how,how,rrq
it,it,pph1
operates,operate,vvz
",",",",y
and,and,cc
I,i,ppis1
think,think,vv0
you,you,ppy
'll,will,vm
see,see,vvi
some,some,dd
positive,positive,jj
things,thing,nn2
come,come,vv0_vvn@
out,out,ii21
of,of,ii22
that,that,dd1
",",",",y
NA,y,NA
trustee,trustee,nn1
Mark,mark,np1
Dambly,NA,np1
said,say,vvd
Thursday,thursday,npd1
.,.,y
#,#,fo
The,the,at
handling,handling,nn1
of,of,io
the,the,at
Sandusky,sandusky,jj@_np1
scandal,scandal,nn1
has,have,vhz
sparked,spark,vvn
unprecedented,unprecedented,jj
interest,interest,nn1
among,among,ii
potential,potential,jj_nn1
candidates,candidate,nn2
for,for,if
three,three,mc
alumni-elected,NA,jj
seats,seat,nn2
on,on,ii
the,the,at
board,board,nn1
that,that,cst
are,be,vbr
up,up,rp
for,for,if
a,a,at1
vote,vote,nn1
this,this,dd1
spring,spring,nn1
.,.,y
#,#,fo
Typically,typically,rr
",",",",y
about,about,rg
six,six,mc
to,to,ii
12,12,mc
candidates,candidate,nn2
step,step,vv0
forward,forward,rl
.,.,y
But,but,ccb
the,the,at
group,group,nn1
Penn,penn,np1
Staters,stater,np1_nn2
for,for,if
Responsible,responsible,jj
Stewardship,stewardship,nn1_np1
alone,alone,rr
has,have,vhz
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
in,in,ii
mid-November,mid-november,npm1
",",",",y
growing,grow,vvg
out,out,ii21
of,of,ii22
what,what,ddq
a,a,at1
spokeswoman,spokeswoman,nn1
said,say,vvd
was,be,vbdz
a,a,at1
common,common,jj
frustration,frustration,nn1
among,among,ii
members,member,nn2
over,over,ii
a,a,at1
lack,lack,nn1
of,of,io
due,due,jj
process,process,nn1
at,at,ii
the,the,at
school,school,nn1
for,for,if
Paterno.,paterno,np1
#,#,fo
Comments,comment,vvz@_nn2
this,this,dd1
week,week,nnt1
by,by,ii
the,the,at
trustees,trustee,nn2
about,about,ii
why,why,rrq
the,the,at
board,board,nn1
ousted,oust,vvd_jj_vvn
Paterno,paterno,np1_nn1
on,on,ii
Nov.,nov,npm1
9,9,mc
failed,fail,vvd_vvn
to,to,to
convince,convince,vvi
the,the,at
alumni,alumnus,nn2
group,group,nn1
.,.,y
#,#,fo
Trustees,trustee,nn2
interviewed,interview,vvd
Thursday,thursday,npd1
by,by,ii
The,the,at
Associated,associated,jj
Press,press,nn1
said,say,vvd
they,they,pphs2
decided,decide,vvd
to,to,to
force,force,vvi
Paterno,paterno,nn1_np1
out,out,rp
in,in,rr21
part,part,rr22
because,because,cs
he,he,pphs1
did,do,vdd
n't,n't,xx
meet,meet,vvi
a,a,at1
moral,moral,jj
obligation,obligation,nn1
to,to,to
do,do,vdi
more,more,rrr_dar
to,to,to
alert,alert,vvi
authorities,authority,nn2
about,about,ii
a,a,at1
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
allegation,allegation,nn1
against,against,ii
Sandusky.,sandusky,np1
#,#,fo
The,the,at
trustees,trustee,nn2
also,also,rr
cited,cite,vvn_vvd
statements,statement,nn2
from,from,ii
Paterno,paterno,np1_nn1
in,in,ii
the,the,at
days,day,nnt2
and,and,cc
hours,hour,nnt2
leading,lead,vvg
to,to,ii
his,his,appge
dismissal,dismissal,nn1
after,after,cs_ii
nearly,nearly,rr
a,a,at1
half-century,half-century,nnt1_jj
of,of,io
leading,lead,vvg
the,the,at
Nittany,nittany,nn1_np1
Lions,lion,nn2
that,that,cst
they,they,pphs2
felt,feel,vvd
challenged,challenge,vvd_vvn
the,the,at
trustees,trustee,nn2
authority,authority,nn1
.,.,y
Board,board,nn1_vv0@
members,member,nn2
saw,see,vvd
that,that,cst_dd1
as,as,rg@_csa
inappropriate,inappropriate,jj
",",",",y
particularly,particularly,rr
at,at,ii
a,a,at1
time,time,nnt1
of,of,io
intense,intense,jj
scrutiny,scrutiny,nn1
over,over,ii
the,the,at
Sandusky,sandusky,jj@_np1
case,case,nn1
.,.,y
#,#,fo
The,the,at
head,head,jj
coach,coach,nn1
had,have,vhd
testified,testify,vvn
before,before,ii
a,a,at1
state,state,nn1
grand,grand,jj
jury,jury,nn1
about,about,ii
a,a,at1
2002,2002,mc
allegation,allegation,nn1
against,against,ii
Sandusky,sandusky,np1
that,that,dd1_cst
was,be,vbdz
passed,pass,vvn
on,on,ii21_rp
to,to,ii22_ii
him,him,ppho1
by,by,ii
a,a,at1
graduate,graduate,nn1
assistant,assistant,nn1
.,.,y
A,a,at1
day,day,nnt1
after,after,cs_ii
that,that,dd1
graduate,graduate,nn1
assistant,assistant,nn1
",",",",y
Mike,mike,np1
McQueary,mcqueary,np1
",",",",y
came,come,vvd
to,to,to
see,see,vvi
him,him,ppho1
",",",",y
Paterno,paterno,np1
relayed,relay,vvd
the,the,at
accusations,accusation,nn2
to,to,ii
his,his,appge
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
members,member,nn2
did,do,vdd
n't,n't,xx
think,think,vvi
that,that,dd1_cst
was,be,vbdz
enough,enough,rr
.,.,y
#,#,fo
NA,y,NA
There,there,ex
's,be,vbz
an,a,at1
obligation,obligation,nn1
",",",",y
a,a,at1
moral,moral,jj
responsibility,responsibility,nn1
",",",",y
for,for,if
all,all,db
adults,adult,nn2
to,to,to
watch,watch,vvi
out,out,rp
for,for,if
children,child,nn2
",",",",y
either,either,rr
your,your,appge
own,own,da
or,or,cc
someone,someone,pn1
else,else,rr
",",",",y
NA,y,NA
Dambly,NA,np1_rr
said,say,vvd
.,.,y
NA,y,NA
It,it,pph1
was,be,vbdz
in,in,ii
our,our,appge
opinion,opinion,nn1
that,that,cst
Joe,joe,np1
Paterno,paterno,np1
did,do,vdd
not,not,xx
meet,meet,vvi
his,his,appge
moral,moral,jj
obligation,obligation,nn1
and,and,cc
for,for,if
that,that,dd1
reason,reason,nn1_vv0@
me,me,ppio1
",",",",y
personally,personally,rr
for,for,if
that,that,dd1
reason,reason,nn1
",",",",y
I,i,ppis1
felt,feel,vvd
he,he,pphs1
could,could,vm
no,no,rr21
longer,long,rr22
lead,lead,vvi
the,the,at
university,university,nn1
and,and,cc
it,it,pph1
was,be,vbdz
unanimous,unanimous,jj
.,.,y
NA,y,NA
#,#,fo
But,but,ccb
Dambly,NA,np1_rr
and,and,cc
three,three,mc
other,other,jj
trustees,trustee,nn2
interviewed,interview,vvd
Thursday,thursday,npd1
on,on,ii
the,the,at
Penn,penn,np1
State,state,nn1
campus,campus,nn1
said,say,vvd
they,they,pphs2
still,still,rr
intended,intend,vvn_vvd
to,to,to
honor,honor,vvi
Paterno,paterno,np1_nn1
's,'s,ge
accomplishments,accomplishment,nn2
and,and,cc
contributions,contribution,nn2
to,to,ii
the,the,at
school,school,nn1
.,.,y
He,he,pphs1
won,win,vvd
a,a,at1
Division,division,nn1
I,i,ppis1
record,record,vv0@
409,409,mc
games,game,nn2
over,over,rg
46,46,mc
seasons,season,nnt2
and,and,cc
the,the,at
Paterno,paterno,nn1_np1
family,family,nn1
has,have,vhz
donated,donate,vvn
millions,million,nno2
of,of,io
dollars,dollar,nnu2
to,to,ii
the,the,at
school,school,nn1
.,.,y
#,#,fo
NA,y,NA
Obviously,obviously,rr
Joe,joe,np1
Paterno,paterno,np1_nn1
is,be,vbz
a,a,at1
worldwide,worldwide,jj
icon,icon,nn1
and,and,cc
has,have,vhz
done,do,vdn
a,a,at1
tremendous,tremendous,jj
amount,amount,nn1
for,for,if
the,the,at
university,university,nn1
",",",",y
NA,y,NA
trustee,trustee,nn1
Joel,joel,np1
Myers,myers,np1
said,say,vvd
.,.,y
NA,y,NA
We,we,ppis2
have,have,vh0
sorrow,sorrow,nn1
and,and,cc
all,all,db
kinds,kind,nn2
of,of,io
emotions,emotion,nn2
",",",",y
empathy,empathy,nn1
",",",",y
sympathy,sympathy,nn1
for,for,if
what,what,ddq
has,have,vhz
occurred,occur,vvn
.,.,y
That,that,dd1
's,be,vbz
universal,universal,jj
.,.,y
#,#,fo
NA,y,NA
But,but,ccb
the,the,at
university,university,nn1
",",",",y
this,this,dd1
institution,institution,nn1
is,be,vbz
greater,great,jjr
than,than,csn
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
the,the,at
board,board,nn1
's,'s,ge
comments,comment,nn2
self-serving,self-serving,nn1_jj
and,and,cc
unsupported,unsupported,jj
by,by,ii
the,the,at
facts,fact,nn2
.,.,y
Paterno,paterno,nn1_np1@
fully,fully,rr
reported,report,vvn_vvd
what,what,ddq
he,he,pphs1
knew,know,vvd
to,to,ii
the,the,at
people,people,nn
responsible,responsible,jj
for,for,if
campus,campus,nn1
investigations,investigation,nn2
",",",",y
lawyer,lawyer,nn1
Wick,wick,np1
Sollers,sollers,np1
said,say,vvd
.,.,y
#,#,fo
NA,y,NA
He,he,pphs1
did,do,vdd
what,what,ddq
he,he,pphs1
thought,think,vvd
was,be,vbdz
right,right,jj
with,with,iw
the,the,at
information,information,nn1
he,he,pphs1
had,have,vhd
at,at,ii
the,the,at
time,time,nnt1
",",",",y
NA,y,NA
Sollers,sollers,np1
said,say,vvd
.,.,y
#,#,fo
In,in,ii
a,a,at1
separate,separate,jj
statement,statement,nn1
",",",",y
Penn,penn,np1
Staters,stater,np1_nn2
for,for,if
Responsible,responsible,jj
Stewardship,stewardship,nn1_np1
said,say,vvd
the,the,at
board,board,nn1
's,'s,ge
comments,comment,nn2
have,have,vh0
NA,y,NA
done,do,vdn
nothing,nothing,pn1
but,but,cs
raise,raise,vvi
additional,additional,jj
questions,question,nn2
.,.,y
NA,y,NA
#,#,fo
Dambly,NA,np1_rr
insisted,insist,vvd
Paterno,paterno,np1_nn1
was,be,vbdz
not,not,xx
fired,fire,vvn
",",",",y
although,although,cs
he,he,pphs1
never,never,rr
appeared,appear,vvd_vvn@
as,as,csa_ii@
coach,coach,nn1
again,again,rt
.,.,y
He,he,pphs1
remains,remain,vvz
a,a,at1
tenured,tenured,jj@
faculty,faculty,nn1
member,member,nn1
.,.,y
#,#,fo
On,on,ii
Friday,friday,npd1
",",",",y
Erickson,erickson,np1
also,also,rr
outlined,outline,vvd_vvn
his,his,appge
goals,goal,nn2
for,for,if
the,the,at
coming,coming,jj@
year,year,nnt1
which,which,ddq
he,he,pphs1
said,say,vvd
could,could,vm
be,be,vbi
challenging,challenge,vvg_jj
because,because,ii21
of,of,ii22
tightening,tightening,jj_vvg_nn1
budget,budget,nn1
strings,string,nn2
.,.,y
He,he,pphs1
said,say,vvd
the,the,at
school,school,nn1
needed,need,vvd_vvn
to,to,to
focus,focus,vvi
on,on,ii_rp@
its,its,appge
NA,y,NA
core,core,nn1
business,business,nn1
NA,y,NA
of,of,io
academics,academic,nn2
.,.,y
#,#,fo
Erickson,erickson,np1
",",",",y
who,who,pnqs
plans,plan,vvz
to,to,to
step,step,vvi
down,down,rp
in,in,ii
2014,2014,mc
",",",",y
also,also,rr
said,say,vvd
the,the,at
university,university,nn1
NA,y,NA
must,must,vm
always,always,rr
be,be,vbi
mindful,mindful,jj
of,of,io
the,the,at
need,need,nn1
for,for,if
institutional,institutional,jj
humility,humility,nn1
",",",",y
integrity,integrity,nn1
and,and,cc
resolve,resolve,vv0
...,...,...
Let,let,vv0
us,us,ppio2
seek,seek,vvi
balance,balance,nn1
in,in,ii
our,our,appge
words,word,nn2
and,and,cc
deeds,deed,nn2
.,.,y
NA,y,NA
#,#,fo
#,#,fo
##4113734,NA,NA
When,when,rrq_cs
he,he,pphs1
leaves,leave,vvz
his,his,appge
home,home,nn1
on,on,ii
a,a,at1
cul-de-sac,cul-de-sac,nn1
in,in,ii
a,a,at1
secluded,secluded,jj
Syracuse,syracuse,np1
suburb,suburb,nn1
",",",",y
coach,coach,vv0_nn1
Jim,jim,np1
Boeheim,boeheim,np1
has,have,vhz
to,to,to
drive,drive,vvi
past,past,ii
the,the,at
house,house,nn1
belonging,belong,vvg
to,to,ii
his,his,appge
former,former,da
assistant,assistant,nn1_jj
",",",",y
Bernie,bernie,np1
Fine,fine,jj
",",",",y
just,just,rr
across,across,ii
the,the,at
street,street,nn1
.,.,y
#,#,fo
It,it,pph1
's,be,vbz
a,a,at1
constant,constant,jj
reminder,reminder,nn1
of,of,io
the,the,at
case,case,nn1
that,that,cst_dd1
has,have,vhz
shaken,shake,vvn
the,the,at
Syracuse,syracuse,np1
campus,campus,nn1
.,.,y
Fine,fine,jj
",",",",y
an,a,at1
assistant,assistant,nn1_jj
for,for,if
more,more,dar
than,than,csn
35,35,mc
years,year,nnt2
",",",",y
was,be,vbdz
fired,fire,vvn
three,three,mc
games,game,nn2
into,into,ii
the,the,at
season,season,nnt1
after,after,ii_cs
two,two,mc
former,former,da
ball,ball,nn1
boys,boy,nn2
accused,accuse,vvd_vvn
him,him,ppho1
of,of,io
sexually,sexually,rr
molesting,molest,vvg
them,them,ppho2
when,when,cs_rrq
they,they,pphs2
were,be,vbdr
young,young,jj
.,.,y
#,#,fo
When,when,rrq_cs
Boeheim,boeheim,np1
publicly,publicly,rr
defended,defend,vvd_vvn
his,his,appge
longtime,longtime,jj
friend,friend,nn1
in,in,ii
November,november,npm1
",",",",y
disparaging,disparaging,jj
the,the,at
accusers,accuser,nn2
",",",",y
advocates,advocate,nn2
for,for,if
child,child,nn1
sex,sex,nn1
abuse,abuse,nn1
victims,victim,nn2
said,say,vvd
the,the,at
head,head,jj
coach,coach,nn1
should,should,vm
resign,resign,vvi
or,or,cc
be,be,vbi
fired,fire,vvn
.,.,y
Shaken,shake,vvn
by,by,ii
the,the,at
outrage,outrage,nn1
his,his,appge
comments,comment,nn2
had,have,vhd
caused,cause,vvn
",",",",y
Boeheim,boeheim,np1
quickly,quickly,rr
apologized,apologize,vvd_vvn@_jj@
and,and,cc
has,have,vhz
since,since,rr@
been,be,vbn
steadfast,steadfast,jj
in,in,ii
saying,say,vvg
he,he,pphs1
wo,will,vm
n't,n't,xx
talk,talk,vvi
about,about,ii
the,the,at
case,case,nn1
until,until,cs_ii@
the,the,at
investigation,investigation,nn1
is,be,vbz
over,over,rp
.,.,y
#,#,fo
Despite,despite,ii
what,what,ddq
clearly,clearly,rr
have,have,vh0
been,be,vbn
some,some,dd
of,of,io
the,the,at
most,most,rgt
difficult,difficult,jj
days,day,nnt2
of,of,io
his,his,appge
life,life,nn1
",",",",y
Boeheim,boeheim,np1
has,have,vhz
kept,keep,vvn
his,his,appge
focus,focus,nn1
and,and,cc
that,that,dd1
of,of,io
his,his,appge
players,player,nn2
on,on,ii
basketball,basketball,nn1
.,.,y
His,his,appge
team,team,nn1
is,be,vbz
off,off,rp
to,to,ii
a,a,at1
20-0,20-0,mcmc
start,start,nn1_vv0
",",",",y
the,the,at
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
1,1,mc1
in,in,ii
the,the,at
nation,nation,nn1
for,for,if
six,six,mc
weeks,week,nnt2
.,.,y
#,#,fo
Just,just,rr
past,past,ii
the,the,at
midpoint,midpoint,nn1
of,of,io
the,the,at
season,season,nnt1
",",",",y
Boeheim,boeheim,np1
offered,offer,vvd
the,the,at
following,following,jj
assessment,assessment,nn1
:,:,y
#,#,fo
NA,y,NA
It,it,pph1
's,be,vhz
been,be,vbn
pretty,pretty,rg
normal,normal,jj
as,as,cs31
far,far,cs32
as,as,cs33
basketball,basketball,nn1
is,be,vbz
concerned,concerned,jj
.,.,y
That,that,dd1
part,part,nn1
has,have,vhz
been,be,vbn
normal,normal,jj
",",",",y
and,and,cc
as,as,cs31
far,far,cs32
as,as,cs33
the,the,at
basketball,basketball,nn1
part,part,nn1
is,be,vbz
concerned,concerned,jj
we,we,ppis2
'll,will,vm
try,try,vvi
to,to,to
keep,keep,vvi
it,it,pph1
that,that,dd1
way,way,nn1
.,.,y
NA,y,NA
#,#,fo
For,for,if
Syracuse,syracuse,np1
",",",",y
however,however,rr
",",",",y
it,it,pph1
has,have,vhz
been,be,vbn
anything,anything,rr21
but,but,rr22
normal,normal,jj
.,.,y
#,#,fo
National,national,jj
media,media,nn
swarmed,swarm,vvd
around,around,ii_rp
campus,campus,nn1
",",",",y
with,with,iw
TV,tv,nn1
trucks,truck,nn2
parked,park,vvn_vvd
for,for,if
weeks,week,nnt2
outside,outside,ii
the,the,at
basketball,basketball,nn1
practice,practice,nn1
facility,facility,nn1
.,.,y
#,#,fo
Federal,federal,jj
agents,agent,nn2
searched,search,vvd_vvn
Fine,fine,jj
's,be,vbz_ge
home,home,rl_nn1@
and,and,cc
office,office,nn1
.,.,y
Accusers,NA,np1@
Bobby,bobby,np1
Davis,davis,np1
and,and,cc
stepbrother,stepbrother,vv0_nn1
Mike,mike,np1
Lang,lang,np1
filed,file,vvd
a,a,at1
defamation,defamation,nn1
lawsuit,lawsuit,nn1
against,against,ii
Boeheim,boeheim,np1
and,and,cc
the,the,at
university,university,nn1
.,.,y
#,#,fo
Two,two,mc
other,other,jj
men,man,nn2
